bootstrap_id,analysis_type,prompt_type,mean_f1,std_f1
0,within_prompt,complex,0.8664533262667449,0.011742710033959233
0,within_prompt,vague,0.8655674051154744,0.009894345600535844
0,cross_prompt,all,0.8261275252570277,0.005905565828815688
1,within_prompt,complex,0.8640976333618164,0.012940012693105539
1,within_prompt,vague,0.8639659155970034,0.008889325642175948
1,cross_prompt,all,0.8246564366096674,0.005785544680508964
2,within_prompt,complex,0.8656835598605019,0.013469543297728625
2,within_prompt,vague,0.8646798174956749,0.010726049088522163
2,cross_prompt,all,0.8258807013432184,0.004856181361142263
3,within_prompt,complex,0.8632608833520309,0.008842423289923332
3,within_prompt,vague,0.8644082268079122,0.010980737423637636
3,cross_prompt,all,0.8244899680029671,0.004400066290114687
4,within_prompt,complex,0.8639163835482164,0.009142259582477308
4,within_prompt,vague,0.8629552565122905,0.011362384965877062
4,cross_prompt,all,0.8270495772361756,0.004467739457490347
5,within_prompt,vague,0.871265933627174,0.008575890313379407
5,within_prompt,complex,0.8659964635454375,0.012305241861356724
5,cross_prompt,all,0.8255921180655317,0.005337229391103424
6,within_prompt,vague,0.8671634743611017,0.01162507665371845
6,within_prompt,complex,0.8610577162574319,0.01391998320260747
6,cross_prompt,all,0.8245928311347961,0.005074552140980352
7,within_prompt,complex,0.8650868359734031,0.01120775951721485
7,within_prompt,vague,0.8637789040803909,0.010492954050783996
7,cross_prompt,all,0.824932763288761,0.00483889169288364
8,within_prompt,vague,0.8666043626634699,0.010351080615417278
8,within_prompt,complex,0.8656580266745194,0.01208169801780545
8,cross_prompt,all,0.8238563221328112,0.004593824244404148
9,within_prompt,complex,0.8638083443922155,0.013275944882326909
9,within_prompt,vague,0.8663557417252484,0.011301217395040392
9,cross_prompt,all,0.8257849185090316,0.005097188600683246
10,within_prompt,complex,0.8699101947602772,0.014606718904875998
10,within_prompt,vague,0.8650278288584489,0.01063799152128927
10,cross_prompt,all,0.8251034156842665,0.005880782165152071
11,within_prompt,complex,0.8604163346083268,0.010945106899225288
11,within_prompt,vague,0.8664012402296066,0.0101955758502787
11,cross_prompt,all,0.8246366598389365,0.004848985440657863
12,within_prompt,vague,0.8617494320869445,0.011215292026613661
12,within_prompt,complex,0.8645570874214172,0.01097569963559107
12,cross_prompt,all,0.8267718833319995,0.004373609169860138
13,within_prompt,vague,0.8640770643949509,0.011054128690920767
