text1_idx,text2_idx,text1_prompt,text2_prompt,text1_temp,text2_temp,text1_filename,text2_filename,precision,recall,f1_score,same_prompt,same_temp,temp_diff
0,1,complex,complex,0.001,0.25,complex_0.001.txt,complex_0.25.txt,0.8797674775123596,0.8807992935180664,0.8802831172943115,True,False,0.249
0,2,complex,complex,0.001,0.5,complex_0.001.txt,complex_0.5.txt,0.8472369909286499,0.8485924601554871,0.8479142189025879,True,False,0.499
0,3,complex,complex,0.001,0.75,complex_0.001.txt,complex_0.75.txt,0.8652077913284302,0.8602495789527893,0.8627215623855591,True,False,0.749
0,4,complex,complex,0.001,1.0,complex_0.001.txt,complex_1.0.txt,0.875356912612915,0.8724895119667053,0.8739208579063416,True,False,0.999
0,5,complex,complex,0.001,1.25,complex_0.001.txt,complex_1.25.txt,0.8567880392074585,0.8621487617492676,0.8594600558280945,True,False,1.249
0,6,complex,complex,0.001,1.5,complex_0.001.txt,complex_1.5.txt,0.8474065065383911,0.8464987277984619,0.8469523787498474,True,False,1.499
0,7,complex,vague,0.001,0.001,complex_0.001.txt,vague_0.001.txt,0.8160538673400879,0.8249284029006958,0.8204671144485474,False,True,0.0
0,8,complex,vague,0.001,0.25,complex_0.001.txt,vague_0.25.txt,0.8152783513069153,0.8174543976783752,0.8163649439811707,False,False,0.249
0,9,complex,vague,0.001,0.5,complex_0.001.txt,vague_0.5.txt,0.8208290338516235,0.825744092464447,0.8232793211936951,False,False,0.499
0,10,complex,vague,0.001,0.75,complex_0.001.txt,vague_0.75.txt,0.8186285495758057,0.8196519613265991,0.8191398978233337,False,False,0.749
0,11,complex,vague,0.001,1.0,complex_0.001.txt,vague_1.0.txt,0.8105455636978149,0.8152000308036804,0.8128661513328552,False,False,0.999
0,12,complex,vague,0.001,1.25,complex_0.001.txt,vague_1.25.txt,0.8163558840751648,0.8157780170440674,0.8160668611526489,False,False,1.249
0,13,complex,vague,0.001,1.5,complex_0.001.txt,vague_1.5.txt,0.8133221864700317,0.8140459060668945,0.8136838674545288,False,False,1.499
1,2,complex,complex,0.25,0.5,complex_0.25.txt,complex_0.5.txt,0.8598015904426575,0.8544765114784241,0.857130765914917,True,False,0.25
1,3,complex,complex,0.25,0.75,complex_0.25.txt,complex_0.75.txt,0.87730872631073,0.8662036657333374,0.8717208504676819,True,False,0.5
1,4,complex,complex,0.25,1.0,complex_0.25.txt,complex_1.0.txt,0.8939089179039001,0.8903399705886841,0.892120897769928,True,False,0.75
1,5,complex,complex,0.25,1.25,complex_0.25.txt,complex_1.25.txt,0.8646827340126038,0.8624164462089539,0.8635480999946594,True,False,1.0
1,6,complex,complex,0.25,1.5,complex_0.25.txt,complex_1.5.txt,0.8581560850143433,0.8499281406402588,0.8540223240852356,True,False,1.25
1,7,complex,vague,0.25,0.001,complex_0.25.txt,vague_0.001.txt,0.8224724531173706,0.8251734972000122,0.8238207101821899,False,False,0.249
1,8,complex,vague,0.25,0.25,complex_0.25.txt,vague_0.25.txt,0.8261457681655884,0.8243749141693115,0.8252593278884888,False,True,0.0
1,9,complex,vague,0.25,0.5,complex_0.25.txt,vague_0.5.txt,0.8327378630638123,0.8310461640357971,0.8318911194801331,False,False,0.25
1,10,complex,vague,0.25,0.75,complex_0.25.txt,vague_0.75.txt,0.8265659213066101,0.8231812119483948,0.8248701095581055,False,False,0.5
1,11,complex,vague,0.25,1.0,complex_0.25.txt,vague_1.0.txt,0.8241785168647766,0.8238307237625122,0.8240045309066772,False,False,0.75
1,12,complex,vague,0.25,1.25,complex_0.25.txt,vague_1.25.txt,0.8245002031326294,0.8202604055404663,0.8223748207092285,False,False,1.0
1,13,complex,vague,0.25,1.5,complex_0.25.txt,vague_1.5.txt,0.828125,0.8222022652626038,0.8251530528068542,False,False,1.25
2,3,complex,complex,0.5,0.75,complex_0.5.txt,complex_0.75.txt,0.8565192222595215,0.8521016240119934,0.8543047308921814,True,False,0.25
2,4,complex,complex,0.5,1.0,complex_0.5.txt,complex_1.0.txt,0.8619534373283386,0.8651182651519775,0.8635329008102417,True,False,0.5
2,5,complex,complex,0.5,1.25,complex_0.5.txt,complex_1.25.txt,0.8810462951660156,0.8841077089309692,0.8825743794441223,True,False,0.75
2,6,complex,complex,0.5,1.5,complex_0.5.txt,complex_1.5.txt,0.8632980585098267,0.8594201803207397,0.8613547682762146,True,False,1.0
2,7,complex,vague,0.5,0.001,complex_0.5.txt,vague_0.001.txt,0.8137503862380981,0.819695770740509,0.8167122602462769,False,False,0.499
2,8,complex,vague,0.5,0.25,complex_0.5.txt,vague_0.25.txt,0.8279058337211609,0.8314778208732605,0.8296880125999451,False,False,0.25
2,9,complex,vague,0.5,0.5,complex_0.5.txt,vague_0.5.txt,0.83116215467453,0.8316711783409119,0.8314166069030762,False,True,0.0
2,10,complex,vague,0.5,0.75,complex_0.5.txt,vague_0.75.txt,0.8249353170394897,0.825743556022644,0.8253391981124878,False,False,0.25
2,11,complex,vague,0.5,1.0,complex_0.5.txt,vague_1.0.txt,0.8226891756057739,0.829031229019165,0.8258480429649353,False,False,0.5
2,12,complex,vague,0.5,1.25,complex_0.5.txt,vague_1.25.txt,0.8252646923065186,0.8259760141372681,0.8256202340126038,False,False,0.75
2,13,complex,vague,0.5,1.5,complex_0.5.txt,vague_1.5.txt,0.8248091340065002,0.8249721527099609,0.8248906135559082,False,False,1.0
3,4,complex,complex,0.75,1.0,complex_0.75.txt,complex_1.0.txt,0.8704958558082581,0.8752064108848572,0.8728447556495667,True,False,0.25
